Carro,Descripcion,Modelo,empresa,puesto
Dodge,Up-sized,1995,Tagfeed,Safety Technician III
Nissan,toolset,2012,Layo,Graphic Designer
Ford,real-time,1984,Talane,Senior Sales Associate
Dodge,6th generation,1995,Omba,Electrical Engineer
Buick,Decentralized,2000,Youspan,Senior Financial Analyst
Suzuki,Reactive,1995,Katz,Software Engineer III
Saab,bifurcated,1999,Kazio,Senior Developer
Lexus,impactful,1996,Roodel,Analog Circuit Design manager
GMC,Organic,2006,Jabbertype,Recruiting Manager
Alfa Romeo,Optimized,1995,Innotype,Occupational Therapist
Nissan,Right-sized,2012,Skinder,Statistician IV
Mercedes-Benz,Realigned,2006,Wikizz,Pharmacist
Chevrolet,system engine,2006,Vidoo,GIS Technical Architect
Suzuki,interactive,2007,Cogilith,Nurse
Lotus,User-centric,1990,Livepath,Payment Adjustment Coordinator
Subaru,Multi-lateral,1996,Buzzster,Information Systems Manager
Volvo,well-modulated,2003,Lazz,Electrical Engineer
Subaru,global,1997,Agivu,Web Developer IV
Chevrolet,archive,1997,Thoughtblab,Office Assistant IV
Ford,asynchronous,2009,Livetube,Developer IV
Dodge,Advanced,1996,Mydeo,Health Coach III
Lotus,24/7,2008,Mudo,Biostatistician II
Saab,Digitized,1989,Dabvine,Librarian
Ford,Down-sized,1995,Tambee,Structural Analysis Engineer
Hyundai,Enterprise-wide,2001,Riffpath,Senior Cost Accountant
Chevrolet,next generation,2011,Minyx,Analyst Programmer
Pontiac,instruction set,2009,Twimbo,Associate Professor
BMW,4th generation,2008,Cogidoo,Payment Adjustment Coordinator
Dodge,full-range,2012,Abatz,Nurse
Lincoln,encompassing,1986,Browsecat,Nurse
Hyundai,Automated,2012,Oyoba,Cost Accountant
Infiniti,toolset,2009,Fivespan,GIS Technical Architect
Volkswagen,Devolved,1999,Jabberstorm,Geologist IV
Plymouth,forecast,1976,Twitterwire,Financial Analyst
Honda,didactic,2005,Eimbee,Electrical Engineer
Jeep,Diverse,2003,Buzzster,Nuclear Power Engineer
GMC,functionalities,2003,Skiba,Senior Financial Analyst
Pontiac,bandwidth-monitored,1977,Flipopia,Geological Engineer
Lexus,Grass-roots,2002,Babbleblab,Graphic Designer
Subaru,directional,2007,Tagtune,Account Representative I
Toyota,Horizontal,2009,Devcast,Associate Professor
Oldsmobile,24/7,2002,Meembee,Computer Systems Analyst IV
Bentley,Profound,2008,Npath,Product Engineer
Volkswagen,heuristic,1986,Voomm,Marketing Manager
Mercedes-Benz,task-force,1992,Jayo,Accounting Assistant II
Chrysler,Proactive,1994,Roodel,Research Assistant II
MINI,stable,2011,Trilith,Staff Scientist
Mercury,maximized,2011,Ntag,Project Manager
Dodge,composite,1992,Twitternation,Community Outreach Specialist
BMW,foreground,2000,Kwideo,Speech Pathologist
Hyundai,Reactive,2007,Voonyx,Geological Engineer
GMC,cohesive,1996,Skyndu,Actuary
Buick,intangible,2005,Kazio,Web Developer IV
Mitsubishi,instruction set,2001,Snaptags,Senior Cost Accountant
Suzuki,Configurable,2007,Centimia,Computer Systems Analyst II
Hyundai,workforce,2006,Skivee,Teacher
Honda,logistical,1991,JumpXS,Statistician II
Chrysler,Right-sized,2007,Rhyzio,VP Product Management
Isuzu,global,1993,Gabtype,Structural Engineer
Acura,Pre-emptive,1990,Kwilith,Recruiter
Suzuki,task-force,1991,Dablist,Community Outreach Specialist
Acura,Adaptive,2002,Lazzy,Internal Auditor
Kia,Triple-buffered,2013,Yodel,Chief Design Engineer
MG,Graphic Interface,1977,Feedfire,Community Outreach Specialist
Toyota,portal,2009,Wikido,Payment Adjustment Coordinator
Saturn,moderator,2009,Yakijo,Executive Secretary
Plymouth,Down-sized,2000,Wikibox,Assistant Manager
GMC,projection,1998,JumpXS,Assistant Manager
Chevrolet,superstructure,1997,Thoughtbeat,Assistant Manager
Chevrolet,policy,1998,Linkbuzz,Senior Developer
Mercury,neural-net,2001,Zoomcast,Editor
Mitsubishi,Organic,2002,Roombo,Professor
Dodge,multimedia,1993,Einti,Developer II
Lexus,benchmark,2007,Bluejam,Pharmacist
BMW,Pre-emptive,2013,Npath,Developer III
Volkswagen,high-level,1996,Yodel,Nurse
Volkswagen,framework,1976,Dynabox,Occupational Therapist
Mercedes-Benz,Pre-emptive,1992,Shuffletag,Developer III
Dodge,orchestration,2008,Cogidoo,Speech Pathologist
Oldsmobile,monitoring,1999,Chatterpoint,Senior Editor
Chevrolet,encompassing,2011,Jabbersphere,Nurse Practicioner
Plymouth,Multi-channelled,1989,Zoozzy,Human Resources Manager
Suzuki,neutral,1986,Flipstorm,VP Marketing
Mitsubishi,methodology,1994,Buzzdog,Assistant Professor
Toyota,utilisation,2012,Jetpulse,Quality Control Specialist
Mercedes-Benz,Networked,1993,Browsebug,Research Nurse
Chevrolet,Adaptive,2005,Browsezoom,Programmer Analyst IV
Cadillac,infrastructure,2003,Voonix,Research Nurse
Mazda,secured line,1986,Fiveclub,Environmental Tech
Ford,Balanced,1991,Rooxo,Sales Representative
Toyota,frame,2001,Riffwire,Media Manager II
Toyota,Organized,2012,Zoombox,Operator
Volkswagen,Function-based,2002,Gigashots,General Manager
Suzuki,Compatible,1990,Devshare,Community Outreach Specialist
Ford,Switchable,1993,Livetube,Assistant Manager
Volkswagen,global,2008,Wordpedia,Data Coordiator
Nissan,Centralized,2011,Brainlounge,Senior Developer
BMW,moratorium,1998,Reallinks,Structural Engineer
Isuzu,installation,1994,Yakidoo,Web Developer IV
Mitsubishi,Monitored,2003,Livepath,Analog Circuit Design manager
Jaguar,cohesive,2011,Latz,Administrative Officer
Jaguar,Re-engineered,2008,Skaboo,Environmental Tech
Mitsubishi,frame,1995,Jatri,Assistant Media Planner
Chevrolet,24 hour,1999,Kamba,Safety Technician I
GMC,customer loyalty,2004,Realbuzz,Sales Associate
Ford,Down-sized,1997,Oyoba,Accounting Assistant I
Toyota,3rd generation,2000,Nlounge,Engineer I
BMW,emulation,2003,Realbridge,Senior Editor
Suzuki,4th generation,1988,Zoonoodle,Analog Circuit Design manager
Mazda,Monitored,1999,Meembee,Statistician III
Dodge,middleware,1992,Jetwire,Dental Hygienist
Dodge,Inverse,2001,Dazzlesphere,Registered Nurse
Saab,Monitored,1997,Trilith,Compensation Analyst
Nissan,object-oriented,1993,Avaveo,Systems Administrator II
Chrysler,explicit,1993,Quatz,Food Chemist
Mazda,leading edge,1991,Twitterbeat,Staff Scientist
Toyota,Persistent,1995,Shufflebeat,Recruiter
Chevrolet,transitional,1995,Chatterbridge,Paralegal
Buick,Assimilated,2005,Devify,Actuary
Audi,Configurable,2005,Voonyx,Compensation Analyst
Lincoln,Managed,1992,Thoughtsphere,Teacher
Subaru,Polarised,2001,Oba,VP Sales
Dodge,intranet,1996,Plajo,Structural Engineer
Volkswagen,website,1985,Brainlounge,VP Product Management
Saab,leverage,1990,Quinu,Safety Technician IV
Chevrolet,migration,1999,Tazz,Staff Accountant IV
Chevrolet,knowledge user,1994,Shufflebeat,VP Sales
Suzuki,bandwidth-monitored,1986,Twinte,Electrical Engineer
Oldsmobile,Customer-focused,1997,Aimbo,Geological Engineer
Volkswagen,artificial intelligence,1965,Yombu,Information Systems Manager
Honda,Quality-focused,1996,Quire,Compensation Analyst
Nissan,solution,2004,Rhynoodle,Dental Hygienist
Saab,instruction set,1996,Avaveo,Graphic Designer
Mazda,Reverse-engineered,1988,Topiclounge,Nurse
Oldsmobile,secondary,1999,Fadeo,Technical Writer
Mercedes-Benz,Ameliorated,1993,Brainbox,Engineer IV
Jaguar,bi-directional,2010,Dablist,Cost Accountant
Jeep,systemic,1997,Jaxnation,Business Systems Development Analyst
GMC,Cross-platform,1999,Yambee,Senior Quality Engineer
Hyundai,solution-oriented,2000,Skimia,Product Engineer
Lexus,attitude-oriented,2002,Tanoodle,Senior Sales Associate
Jeep,Synergized,2010,Trudeo,Geologist III
Jaguar,Horizontal,2004,Yombu,VP Marketing
Honda,heuristic,1996,Gigaclub,Office Assistant II
Mitsubishi,24 hour,1995,Trupe,VP Sales
Audi,Ameliorated,2001,Thoughtworks,Account Coordinator
Pontiac,Re-contextualized,2001,Youspan,Chemical Engineer
Mazda,bi-directional,2011,Photolist,Professor
Mazda,system-worthy,1990,JumpXS,Help Desk Technician
Ford,eco-centric,2000,Babbleblab,Food Chemist
Nissan,Open-architected,2005,Twimbo,Payment Adjustment Coordinator
Dodge,eco-centric,1994,Chatterbridge,Sales Representative
Plymouth,Persevering,1999,Kwilith,Environmental Tech
Dodge,Ergonomic,2002,Wordify,Operator
Pontiac,groupware,2004,Ozu,Graphic Designer
Aston Martin,knowledge user,2012,Aivee,VP Accounting
Lexus,moratorium,2000,Mita,Web Designer III
Mercedes-Benz,composite,2001,Shuffletag,Systems Administrator IV
BMW,Monitored,2005,Yabox,Analyst Programmer
Mercury,logistical,1994,Skibox,Project Manager
Lexus,hub,1995,Fiveclub,Web Developer IV
BMW,Pre-emptive,2001,Gigashots,Operator
Dodge,Managed,2001,Latz,Operator
Ford,motivating,2006,Thoughtworks,Graphic Designer
Isuzu,knowledge user,1999,Trilia,Cost Accountant
Pontiac,neural-net,1987,Yamia,Statistician II
Lincoln,exuding,2000,Jamia,Software Engineer II
Lincoln,impactful,2004,Oozz,Analog Circuit Design manager
Buick,24 hour,1994,Aivee,Human Resources Assistant IV
Mitsubishi,Reduced,1992,Babbleset,Legal Assistant
Chevrolet,implementation,2012,Linkbuzz,Chief Design Engineer
Chevrolet,executive,2010,Realcube,Biostatistician II
Kia,flexibility,1999,Zava,Web Developer III
Chevrolet,infrastructure,1998,Meejo,Pharmacist
Buick,human-resource,1998,Livetube,Nuclear Power Engineer
Chrysler,secondary,2010,Gevee,Account Coordinator
Oldsmobile,Automated,1996,Blogtags,Dental Hygienist
GMC,leading edge,2008,Photospace,Biostatistician I
Maybach,Grass-roots,2012,Browsecat,Registered Nurse
Mercedes-Benz,Adaptive,1990,Youspan,Budget/Accounting Analyst II
Porsche,asynchronous,1984,Gabvine,VP Product Management
Cadillac,maximized,2000,Shufflebeat,Environmental Specialist
Mazda,standardization,2010,Minyx,Pharmacist
Cadillac,asymmetric,2010,Skimia,Software Consultant
Mercedes-Benz,Extended,2003,Quaxo,Recruiting Manager
Dodge,open architecture,1995,Voomm,Clinical Specialist
Mercury,Compatible,1986,Feedbug,Nurse Practicioner
Ford,knowledge base,1991,Demizz,Senior Developer
Ford,adapter,2011,Brainsphere,Geologist II
Pontiac,Proactive,1990,Kazu,Registered Nurse
Ford,Integrated,2005,Quinu,Financial Advisor
Ford,algorithm,2003,Buzzster,Research Assistant II
Chevrolet,Re-engineered,1968,Babbleopia,Human Resources Manager
Pontiac,pricing structure,1987,Oloo,Account Coordinator
Dodge,core,1969,Realblab,Data Coordiator
Chrysler,contingency,2005,Meembee,Research Associate
Hyundai,Polarised,2011,Brainlounge,Help Desk Operator
Mitsubishi,definition,2001,Eare,Dental Hygienist
Jaguar,exuding,2002,Tazzy,Editor
Ford,ability,2009,Blogtag,Safety Technician II
Dodge,Upgradable,2002,Realblab,Cost Accountant
Lincoln,budgetary management,2010,Photobug,Geological Engineer
Toyota,Graphical User Interface,1999,Linkbuzz,Engineer I
Lamborghini,installation,2004,Jetpulse,Chief Design Engineer
Acura,24/7,2007,Buzzdog,Staff Scientist
Dodge,function,1999,Chatterbridge,Account Executive
Kia,Upgradable,2004,Trudoo,Marketing Assistant
Mazda,Up-sized,1994,Katz,Data Coordiator
Dodge,Devolved,2009,Myworks,Payment Adjustment Coordinator
Toyota,open system,2007,Riffwire,Automation Specialist I
Chevrolet,Secured,2011,Rhynoodle,Office Assistant III
Pontiac,bottom-line,2002,Centidel,VP Product Management
GMC,firmware,2007,Zoomzone,Media Manager I
Isuzu,throughput,2003,Meevee,Senior Cost Accountant
Toyota,intranet,2001,Skiptube,Biostatistician IV
Ford,fault-tolerant,2005,Camimbo,Analog Circuit Design manager
Chrysler,instruction set,1992,Vinte,Speech Pathologist
BMW,Balanced,1997,Youtags,Office Assistant IV
Subaru,throughput,1998,Browseblab,Senior Cost Accountant
Pontiac,asymmetric,2003,Zoomzone,Assistant Manager
Ford,optimal,1992,Cogilith,Social Worker
Dodge,Front-line,2005,Kaymbo,Sales Associate
Scion,complexity,2006,Tagchat,Recruiting Manager
Toyota,support,1996,Yakijo,Teacher
Saturn,Versatile,2007,Eare,Geologist IV
Suzuki,Synergistic,2006,Pixoboo,Senior Developer
Volkswagen,object-oriented,1990,Skajo,Tax Accountant
Suzuki,Monitored,2004,Kare,Structural Engineer
Toyota,Future-proofed,1993,Roomm,Senior Quality Engineer
Mitsubishi,Managed,1991,Yadel,Web Developer IV
BMW,paradigm,2009,Browsezoom,Community Outreach Specialist
Porsche,Object-based,1985,Leenti,Help Desk Technician
GMC,discrete,2003,Babblestorm,Budget/Accounting Analyst I
Audi,content-based,1989,Yamia,Project Manager
BMW,website,1999,Aivee,Chief Design Engineer
Honda,composite,2010,Wikizz,Chief Design Engineer
Ford,Expanded,1993,Feedfire,Geologist I
Mitsubishi,Extended,1992,Gabspot,Data Coordiator
Mercedes-Benz,Intuitive,2004,Aimbo,Media Manager II
Toyota,challenge,2012,Quamba,Budget/Accounting Analyst II
Pontiac,Progressive,2001,Mymm,Research Associate
Acura,Distributed,1997,Dynazzy,Administrative Assistant II
Mercury,attitude-oriented,1987,Vitz,Systems Administrator IV
Ford,hybrid,2003,Eamia,Analog Circuit Design manager
Subaru,demand-driven,1990,Eazzy,Marketing Assistant
BMW,help-desk,1994,Omba,Financial Advisor
GMC,Configurable,1992,Voonder,Engineer II
Kia,Secured,2006,Fanoodle,Biostatistician IV
GMC,tertiary,1996,Voomm,VP Product Management
Suzuki,User-friendly,2003,Flipbug,Chemical Engineer
Lincoln,middleware,1992,Eabox,Account Coordinator
Chevrolet,Cross-group,1996,Fiveclub,Programmer Analyst II
Saab,matrix,2000,Linklinks,Editor
Land Rover,Focused,2011,Kamba,Legal Assistant
BMW,hub,2008,Eazzy,GIS Technical Architect
Lexus,optimizing,2012,Tagopia,Staff Accountant IV
Chevrolet,data-warehouse,2006,Wordpedia,Quality Control Specialist
Volkswagen,matrices,1984,Babblestorm,Environmental Tech
Toyota,next generation,2004,Quimba,General Manager
Chrysler,productivity,1997,Kazu,Senior Quality Engineer
Chrysler,static,2010,Lazz,Structural Analysis Engineer
Chrysler,motivating,2003,Dynava,Computer Systems Analyst IV
Audi,optimal,2009,Vitz,Internal Auditor
Volkswagen,internet solution,1995,Browsetype,Senior Editor
Aston Martin,internet solution,2006,Feednation,Senior Quality Engineer
Aston Martin,cohesive,2007,Flashset,Senior Financial Analyst
Kia,Secured,2007,Viva,Recruiter
Chevrolet,fresh-thinking,2010,Oozz,Actuary
GMC,demand-driven,2009,Pixonyx,Analog Circuit Design manager
Honda,Pre-emptive,1997,Quimba,Nuclear Power Engineer
Chevrolet,policy,1996,Yozio,Information Systems Manager
Dodge,maximized,1995,Rhyzio,Mechanical Systems Engineer
Mazda,pricing structure,1990,Oyope,Human Resources Manager
Toyota,neutral,2008,Oba,Food Chemist
BMW,challenge,2012,Ailane,Compensation Analyst
Pontiac,service-desk,1997,Skyble,Geological Engineer
Mercedes-Benz,foreground,1993,Eadel,Statistician II
Suzuki,Cross-platform,1995,Topicblab,Financial Advisor
Isuzu,installation,1996,Avamba,Safety Technician I
Volkswagen,task-force,2010,Yombu,Associate Professor
Mazda,national,1993,Thoughtsphere,Physical Therapy Assistant
Pontiac,superstructure,1996,Twitterlist,Accountant I
Chevrolet,solution-oriented,2006,Trudeo,Programmer I
Ford,client-driven,2007,Snaptags,Paralegal
Pontiac,composite,1990,Ntag,Speech Pathologist
Mitsubishi,demand-driven,1998,Kwilith,Graphic Designer
Porsche,Phased,2010,Yozio,Media Manager III
Bentley,Focused,2009,Skyvu,Human Resources Manager
Toyota,heuristic,2002,Browsecat,Desktop Support Technician
Toyota,moderator,1994,Mynte,Account Representative III
Nissan,multi-tasking,2010,Wikido,Biostatistician I
Acura,impactful,2009,Centizu,Actuary
Chrysler,maximized,1994,Reallinks,Software Test Engineer II
Hyundai,Total,1994,Bubblemix,Compensation Analyst
Isuzu,Operative,1998,Yambee,Assistant Professor
Buick,client-server,2003,Zazio,Registered Nurse
Scion,Profit-focused,2005,Tavu,Business Systems Development Analyst
Oldsmobile,intermediate,2001,Gabtune,Editor
Honda,Cross-platform,1995,Quimba,Administrative Assistant III
Dodge,tangible,1978,Feedfish,Accounting Assistant I
Honda,Switchable,1997,Edgewire,Physical Therapy Assistant
Chevrolet,Organized,2011,Zazio,Executive Secretary
Dodge,Enterprise-wide,2010,Yombu,Physical Therapy Assistant
Mitsubishi,internet solution,2005,Zoombeat,Geologist III
Maserati,disintermediate,1991,Flashpoint,Senior Sales Associate
Infiniti,encoding,2000,Shuffledrive,Accountant IV
Lincoln,Virtual,1989,Topicware,Electrical Engineer
Buick,collaboration,1989,Mynte,Administrative Assistant IV
Mercury,Re-contextualized,1995,Yakitri,Software Test Engineer IV
Hyundai,systemic,1995,Brainbox,Statistician II
Pontiac,success,1963,Skipstorm,Help Desk Technician
Ford,throughput,2013,Quinu,Web Designer II
Audi,instruction set,1991,Tazz,Teacher
Suzuki,5th generation,2006,Bluezoom,Senior Developer
Ford,Balanced,1963,Thoughtworks,VP Quality Control
Ford,Optimized,1988,Yakidoo,Compensation Analyst
Lexus,dedicated,2010,Youbridge,Structural Analysis Engineer
Volvo,Diverse,2007,Pixope,Chief Design Engineer
Volkswagen,conglomeration,1993,Rhynyx,Registered Nurse
Hyundai,success,2008,Realblab,Media Manager III
Scion,dynamic,2004,Skalith,Account Coordinator
Land Rover,foreground,2011,Minyx,Geological Engineer
GMC,Multi-lateral,1993,Flipopia,Automation Specialist III
Buick,firmware,1996,Skimia,Assistant Professor
Jaguar,database,2011,Dabtype,Recruiting Manager
Ford,composite,2010,Riffwire,Technical Writer
Ford,matrices,1988,Trunyx,Quality Control Specialist
Nissan,Realigned,2007,Eare,Web Designer IV
Jeep,middleware,2004,Fadeo,VP Quality Control
Ford,Distributed,1966,Gigashots,Dental Hygienist
Ford,Devolved,2013,Quire,Senior Editor
Honda,firmware,2004,Jaxworks,VP Accounting
Pontiac,24/7,1999,Zoomcast,VP Sales
Pontiac,Decentralized,2004,Lajo,Mechanical Systems Engineer
Jeep,alliance,2008,Buzzster,Geologist IV
Land Rover,Profit-focused,2001,Jaxworks,Research Associate
GMC,background,2012,Pixope,Environmental Specialist
Chevrolet,tangible,1993,Yacero,Social Worker
Volkswagen,open system,2007,Tambee,Research Assistant III
Dodge,Function-based,1996,Rhycero,Staff Scientist
Mercedes-Benz,full-range,2008,Yakidoo,Programmer II
Chevrolet,Distributed,1996,Eadel,Help Desk Operator
Pontiac,Devolved,2005,Skiptube,GIS Technical Architect
Chevrolet,real-time,1994,Bluejam,Environmental Specialist
Volvo,logistical,2008,Devpoint,Administrative Officer
Volkswagen,didactic,2012,Oyoloo,Media Manager IV
Chrysler,5th generation,2006,Zooveo,Research Associate
Porsche,matrix,1997,Vitz,Pharmacist
Chevrolet,solution,2005,Browsetype,Senior Developer
Jeep,Customer-focused,1996,Babbleset,Software Test Engineer I
Mazda,encryption,1996,Cogidoo,Speech Pathologist
Aston Martin,explicit,2006,Realcube,Occupational Therapist
Subaru,Multi-layered,1997,Viva,Structural Engineer
Subaru,Customer-focused,1997,Skinder,VP Accounting
Volkswagen,Business-focused,1999,Latz,Programmer Analyst IV
Maserati,Assimilated,2005,Mynte,Registered Nurse
Pontiac,coherent,1998,Thoughtstorm,Software Consultant
Chevrolet,customer loyalty,2002,Centizu,Senior Quality Engineer
Oldsmobile,task-force,2001,Skajo,Executive Secretary
Dodge,executive,2005,Quinu,Tax Accountant
Nissan,value-added,2006,Skynoodle,Structural Engineer
Lexus,multi-tasking,2008,Eare,Statistician IV
GMC,policy,1993,Kwilith,Junior Executive
Lexus,Profound,2011,Buzzshare,Librarian
Pontiac,initiative,2001,Katz,Analyst Programmer
Volvo,Universal,2010,Skidoo,Technical Writer
Chevrolet,24/7,2007,Shufflester,VP Marketing
Dodge,composite,2011,Vinder,Human Resources Manager
Dodge,bi-directional,1995,Photobug,Professor
GMC,upward-trending,1992,Mita,Chemical Engineer
Ford,interface,1991,Edgepulse,Project Manager
BMW,model,2011,Oodoo,VP Marketing
Mazda,monitoring,1995,Photospace,VP Product Management
Ford,service-desk,2012,Meemm,Senior Developer
Mitsubishi,circuit,1990,Yombu,Technical Writer
Lincoln,mobile,1984,Zoombox,Dental Hygienist
Mercury,empowering,1993,Trudoo,Structural Analysis Engineer
Mitsubishi,policy,1992,Dabtype,Senior Developer
Tesla,uniform,2011,Ooba,Research Associate
BMW,web-enabled,2010,Livetube,Cost Accountant
Plymouth,discrete,1993,Buzzshare,Occupational Therapist
Pontiac,local,1975,Edgeclub,Senior Quality Engineer
Mercedes-Benz,model,2005,Ntag,Business Systems Development Analyst
Volkswagen,function,1987,Brightbean,Project Manager
Subaru,instruction set,2000,Talane,Internal Auditor
Dodge,Total,2001,Livefish,Systems Administrator II
Audi,Reverse-engineered,2012,Fanoodle,Help Desk Technician
Ford,Networked,1985,Flashpoint,Civil Engineer
Toyota,global,1999,Quimba,Chemical Engineer
Saab,Optimized,2011,Voomm,Senior Cost Accountant
Honda,Open-architected,2004,Zoovu,Safety Technician IV
Chevrolet,Right-sized,2008,Tazzy,Senior Financial Analyst
Hyundai,global,2010,Skaboo,Web Designer III
Chevrolet,customer loyalty,2001,Dabshots,Librarian
Lincoln,Versatile,2007,Quamba,Environmental Tech
GMC,intermediate,1996,Pixonyx,Business Systems Development Analyst
Mercury,Seamless,2010,Talane,Analyst Programmer
Dodge,3rd generation,1992,Feedfish,Help Desk Operator
Maybach,Realigned,2005,Avamm,Social Worker
Dodge,Expanded,1993,Yambee,Software Consultant
Ford,strategy,2002,Yabox,Nuclear Power Engineer
Lotus,focus group,2006,Mynte,Desktop Support Technician
Buick,product,2007,Buzzster,Food Chemist
Ford,background,1994,Tazzy,Social Worker
Pontiac,multimedia,2005,Ainyx,Accountant I
