Carro,Descripcion,Modelo,empresa,puesto
Jaguar,Open-source,2001,Brainsphere,Associate Professor
Lincoln,Open-source,1991,Browsedrive,Operator
Mitsubishi,24 hour,2006,Skivee,Senior Quality Engineer
Pontiac,moderator,1993,Vimbo,Web Designer I
Acura,dedicated,1997,Wordify,Compensation Analyst
Ford,architecture,2004,Tagfeed,Human Resources Assistant II
Mazda,groupware,2006,Fanoodle,Technical Writer
Subaru,zero tolerance,1994,Twitterbeat,Senior Editor
Lincoln,homogeneous,2011,Trupe,Marketing Manager
Buick,global,2005,Fanoodle,Research Associate
Suzuki,disintermediate,1998,Yambee,Human Resources Assistant II
Chevrolet,well-modulated,2010,Dynava,Senior Sales Associate
Mercury,Progressive,1992,Blognation,Environmental Specialist
Mercury,time-frame,2004,Thoughtstorm,Pharmacist
Mercury,De-engineered,2005,Meevee,Dental Hygienist
Volvo,Future-proofed,2008,Quinu,Accountant III
BMW,benchmark,2012,Topdrive,Geological Engineer
Chevrolet,matrix,1993,Jaloo,Analyst Programmer
Pontiac,Front-line,1999,Zoomdog,Safety Technician I
Ford,scalable,2000,Lajo,Mechanical Systems Engineer
Suzuki,systemic,1987,Wikizz,Legal Assistant
Mazda,Graphic Interface,1995,Dabjam,Product Engineer
Toyota,needs-based,1995,Gigazoom,Media Manager I
Lotus,global,1990,Gigaclub,Speech Pathologist
Chevrolet,attitude,1995,Innotype,Geological Engineer
Subaru,Networked,1986,Browsedrive,Engineer IV
Chrysler,demand-driven,1992,Voonte,Mechanical Systems Engineer
Mercedes-Benz,attitude-oriented,2006,Dabvine,Junior Executive
Honda,Managed,2005,Gevee,Marketing Manager
Acura,knowledge base,1999,Photobug,VP Accounting
Buick,radical,1986,Thoughtblab,Food Chemist
Mazda,project,2001,Skyndu,VP Accounting
Honda,transitional,2011,Zoonoodle,Clinical Specialist
Mitsubishi,asynchronous,2008,Skippad,VP Marketing
Toyota,Cross-platform,2009,Topicstorm,Senior Financial Analyst
Suzuki,help-desk,1991,InnoZ,Registered Nurse
Toyota,Cross-group,1998,Brightbean,Social Worker
Chevrolet,Devolved,2004,Fiveclub,Senior Cost Accountant
Toyota,tangible,2011,Skivee,Information Systems Manager
MINI,Distributed,2004,Tagtune,Staff Scientist
Suzuki,Multi-lateral,2001,Dynava,Research Associate
Mitsubishi,bifurcated,2001,Rooxo,Electrical Engineer
GMC,productivity,1993,Ainyx,Marketing Assistant
Suzuki,Team-oriented,2007,Tagcat,Occupational Therapist
Honda,discrete,2010,Oyoba,Editor
Toyota,Open-architected,1991,Flashpoint,Professor
Jaguar,emulation,2011,Jayo,Account Coordinator
Ford,multimedia,2000,Wikizz,Senior Cost Accountant
Subaru,software,2012,Rhycero,Accounting Assistant I
Chevrolet,optimizing,2011,Browseblab,Analyst Programmer
Honda,zero defect,2012,Fiveclub,Chemical Engineer
Mitsubishi,Synergistic,1995,Edgewire,Chemical Engineer
Dodge,5th generation,2006,Fliptune,Software Engineer I
Ford,content-based,2008,Browsetype,GIS Technical Architect
Ford,Operative,1997,Muxo,Project Manager
Nissan,logistical,2006,Quimba,Clinical Specialist
Porsche,Monitored,2000,Cogibox,Senior Developer
Mitsubishi,Triple-buffered,1995,Skipstorm,Geological Engineer
Pontiac,Virtual,2003,Leenti,Web Developer IV
Ford,zero administration,2012,Kare,Budget/Accounting Analyst II
Mitsubishi,contingency,1987,Yamia,Professor
Audi,Upgradable,2008,Fliptune,Social Worker
Dodge,interactive,2011,Kwinu,VP Accounting
Honda,Ergonomic,2001,Pixoboo,Developer II
Ford,Reduced,1986,Realbuzz,Senior Financial Analyst
Volkswagen,tangible,1988,Centidel,Business Systems Development Analyst
Honda,user-facing,1997,Yakijo,Technical Writer
Nissan,neutral,1998,Tekfly,Professor
Suzuki,Enhanced,2003,Jaxbean,Executive Secretary
Hyundai,project,2009,Youspan,Professor
Chevrolet,needs-based,1979,Devify,Mechanical Systems Engineer
Chevrolet,forecast,2000,Eadel,Senior Cost Accountant
Acura,moratorium,1996,Twitterworks,Internal Auditor
Alfa Romeo,Synergistic,1995,Tagchat,Quality Control Specialist
Lexus,next generation,1997,Browsezoom,Business Systems Development Analyst
Buick,homogeneous,1996,Divape,Financial Advisor
Nissan,Sharable,2001,Agimba,Administrative Officer
Ford,heuristic,1990,Fivebridge,Legal Assistant
Lincoln,reciprocal,2013,Agivu,Geologist II
Mercedes-Benz,tertiary,1984,Feedfire,Physical Therapy Assistant
Cadillac,foreground,1992,Pixonyx,Nurse
Mitsubishi,web-enabled,2012,Dablist,Desktop Support Technician
Chevrolet,Graphic Interface,2002,Muxo,Analyst Programmer
Land Rover,Exclusive,2008,Babbleblab,Cost Accountant
Dodge,24 hour,2011,Skipstorm,VP Accounting
BMW,holistic,2005,Yabox,Developer IV
Mitsubishi,task-force,1997,Omba,VP Quality Control
Jeep,contextually-based,2008,Oyoba,Executive Secretary
Volkswagen,architecture,2002,Zoombox,Software Consultant
Mitsubishi,open system,2011,Jaxspan,Community Outreach Specialist
Pontiac,benchmark,1993,Linklinks,Associate Professor
Pontiac,Synergistic,1999,Jabbersphere,Office Assistant III
Mazda,Programmable,1990,Browseblab,VP Quality Control
Dodge,infrastructure,2003,Jaloo,Accounting Assistant III
Mitsubishi,productivity,2008,Cogilith,Electrical Engineer
Volkswagen,matrix,1993,Meembee,Analog Circuit Design manager
Lamborghini,Expanded,2009,Edgeify,Systems Administrator II
Toyota,Down-sized,2007,Edgeify,Structural Analysis Engineer
Mazda,neutral,2004,Skiptube,Paralegal
Isuzu,Ameliorated,2007,Ainyx,Assistant Manager
Mitsubishi,orchestration,2003,Avavee,Web Developer IV
Saab,migration,2003,Twitterwire,Web Developer II
Ford,Open-architected,2012,Jabberbean,Chemical Engineer
Volvo,value-added,2000,Rhycero,Quality Control Specialist
Volkswagen,Mandatory,1988,Topiczoom,Web Designer IV
Buick,Advanced,2011,Jayo,Database Administrator IV
Lexus,service-desk,1999,Livetube,Data Coordiator
Plymouth,Quality-focused,1999,Riffwire,Senior Sales Associate
Ford,throughput,2006,Eare,Help Desk Operator
Porsche,secured line,2011,Wikido,Biostatistician IV
Lotus,directional,2010,Plajo,Engineer IV
Nissan,orchestration,2011,Shuffletag,Food Chemist
Chevrolet,function,2003,Kwilith,Account Executive
Toyota,fault-tolerant,1998,Eabox,Nurse Practicioner
BMW,Operative,1999,Voolia,Human Resources Assistant IV
Mitsubishi,process improvement,2010,Skibox,Physical Therapy Assistant
Chevrolet,Self-enabling,2006,Devcast,Structural Analysis Engineer
Volkswagen,dedicated,2000,Pixope,Senior Cost Accountant
Mazda,Virtual,2009,Feednation,Human Resources Assistant I
Corbin,impactful,2004,Oyope,Help Desk Technician
Nissan,moratorium,2010,Rooxo,Business Systems Development Analyst
Kia,Multi-channelled,2012,Twitternation,Speech Pathologist
Mazda,initiative,2003,Plajo,Biostatistician III
Lotus,User-friendly,1992,LiveZ,Librarian
Infiniti,Right-sized,1992,Ntag,Web Designer II
Lexus,maximized,2007,Realbuzz,Food Chemist
Toyota,product,1995,Gigazoom,Media Manager II
Chevrolet,Down-sized,1998,Cogilith,Product Engineer
Maserati,human-resource,1989,Realblab,Registered Nurse
Geo,content-based,1995,Yakijo,Automation Specialist I
Mitsubishi,projection,1992,Wikizz,Project Manager
Ford,3rd generation,2009,Brainbox,Occupational Therapist
Nissan,4th generation,2009,Zoombeat,Biostatistician III
Kia,Persistent,2009,Jaxworks,Administrative Assistant II
Eagle,impactful,1995,Zoombox,Compensation Analyst
Dodge,attitude-oriented,1999,Voonder,Geological Engineer
Nissan,contingency,2007,Kanoodle,Environmental Tech
BMW,Triple-buffered,2003,Photofeed,Web Designer II
Mercury,productivity,1986,Thoughtstorm,Speech Pathologist
Nissan,Open-source,1995,Yodel,Structural Analysis Engineer
Mitsubishi,Realigned,1992,Avamm,Mechanical Systems Engineer
Ford,next generation,1969,Zoomlounge,Payment Adjustment Coordinator
Cadillac,Focused,2005,Jabberbean,Programmer Analyst III
Audi,Devolved,1996,Skinix,Project Manager
Audi,Multi-tiered,2004,Voonyx,Chemical Engineer
Mitsubishi,Self-enabling,1996,Babbleset,Senior Sales Associate
Audi,capability,2004,Gevee,Engineer III
Subaru,dynamic,1985,Edgepulse,Pharmacist
Acura,even-keeled,1997,DabZ,Media Manager I
Mitsubishi,Cross-platform,2001,Voomm,Office Assistant IV
Ford,concept,2005,Edgetag,Software Consultant
Mercury,neutral,1997,Realbuzz,Director of Sales
Pontiac,workforce,1967,Rhybox,Research Nurse
Subaru,executive,1996,Jabberbean,Quality Control Specialist
Oldsmobile,Quality-focused,2002,Oyoba,Nurse
Mercury,holistic,2008,Skinder,Software Engineer I
Ford,focus group,1967,Dynava,VP Product Management
Pontiac,fresh-thinking,1970,Gigabox,Chief Design Engineer
Suzuki,Total,2012,Plajo,Dental Hygienist
Saab,Customer-focused,2005,Fanoodle,Automation Specialist IV
Mitsubishi,hub,1989,Shuffledrive,Media Manager I
Jaguar,Integrated,2012,Rhyzio,Marketing Manager
Ford,Monitored,1984,Photobean,Research Associate
Mazda,internet solution,2004,Skaboo,Programmer I
Chevrolet,value-added,1999,Minyx,Programmer III
Buick,leading edge,2006,Voolith,Speech Pathologist
Ford,Front-line,2003,Mymm,Financial Analyst
Buick,Progressive,1993,DabZ,Business Systems Development Analyst
Mercury,Cross-group,2011,Youspan,Senior Cost Accountant
Volkswagen,Synergistic,2010,Yamia,Cost Accountant
BMW,Integrated,1958,Wikivu,Paralegal
Chevrolet,transitional,2000,Realfire,Senior Developer
Cadillac,customer loyalty,2009,Layo,Dental Hygienist
Acura,holistic,2004,Leenti,Marketing Assistant
BMW,heuristic,1999,Quire,Project Manager
Ford,Self-enabling,2009,Trilith,Software Consultant
Mercedes-Benz,tertiary,1984,Oyondu,Health Coach II
Dodge,solution,2005,Jazzy,Administrative Assistant I
Suzuki,Synergized,1998,Kanoodle,Quality Control Specialist
Mitsubishi,neural-net,2004,Skajo,Financial Analyst
Volvo,Graphical User Interface,2010,Kanoodle,Senior Financial Analyst
Ford,Devolved,2011,Voomm,Chief Design Engineer
Mazda,parallelism,1987,Youspan,Research Associate
Mazda,workforce,2008,Gigabox,Civil Engineer
Cadillac,cohesive,2008,Linkbridge,Director of Sales
Saab,Streamlined,1993,Realcube,Research Assistant I
Ram,Distributed,2012,Pixonyx,Assistant Media Planner
Toyota,installation,1997,Edgetag,Statistician I
Lincoln,Reduced,2002,Tagtune,Administrative Officer
Infiniti,architecture,2005,Gabtune,Budget/Accounting Analyst III
Ford,Intuitive,2005,Devshare,Software Engineer III
Kia,Automated,2007,Photojam,Programmer Analyst III
Hillman,demand-driven,1950,Jatri,Recruiter
Acura,disintermediate,2000,Voonder,Analog Circuit Design manager
Plymouth,Face to face,1994,Topiczoom,Technical Writer
Land Rover,Polarised,1997,Demizz,Occupational Therapist
Tesla,encoding,2011,Einti,Dental Hygienist
Jeep,systematic,1999,Brightbean,Community Outreach Specialist
Chevrolet,bi-directional,1998,BlogXS,Automation Specialist I
Pontiac,modular,1968,Kwimbee,Database Administrator III
Ford,24/7,1992,Flashpoint,Nurse
Mazda,4th generation,1993,Ooba,Nurse Practicioner
Hyundai,Triple-buffered,2006,Devshare,Database Administrator I
Dodge,Synchronised,1997,Eare,Marketing Assistant
Suzuki,archive,1998,Linklinks,Nurse Practicioner
Chevrolet,support,2003,Jabberbean,VP Marketing
Pontiac,website,1995,Twinte,Pharmacist
Chevrolet,capability,2005,Topiczoom,Nurse
Buick,matrix,1989,Wordpedia,Research Assistant IV
Bentley,Horizontal,2008,Agivu,Senior Developer
Subaru,mission-critical,1989,Vimbo,Assistant Manager
Ferrari,system-worthy,2007,Divape,VP Accounting
Kia,heuristic,2005,Babblestorm,GIS Technical Architect
Mitsubishi,Multi-lateral,1993,Wikizz,Environmental Tech
Mazda,Ameliorated,2003,Youspan,Software Consultant
Pontiac,Balanced,1987,Babbleset,Pharmacist
Daewoo,intangible,2002,Jabberbean,Tax Accountant
BMW,moratorium,2006,Wikibox,Design Engineer
Plymouth,value-added,1991,Minyx,Environmental Specialist
Lotus,Digitized,2009,Quinu,Accounting Assistant III
Ford,high-level,2004,Vinder,Web Developer IV
Mercedes-Benz,approach,1998,Skajo,Accountant I
Acura,toolset,1992,Eidel,Mechanical Systems Engineer
Chevrolet,success,2011,Buzzster,Junior Executive
Ford,encoding,1998,Camido,Executive Secretary
Cadillac,Ergonomic,2007,Oodoo,Systems Administrator IV
Dodge,Enhanced,1997,Viva,Data Coordiator
Volvo,collaboration,2006,Yombu,Engineer I
Lincoln,Assimilated,2000,Skippad,Clinical Specialist
Nissan,software,1991,Oyoyo,Physical Therapy Assistant
Land Rover,User-friendly,2012,Demimbu,Professor
Buick,Streamlined,2008,Digitube,Civil Engineer
Mitsubishi,alliance,1988,Realpoint,Nurse
Ford,holistic,2003,Devpulse,Professor
Acura,standardization,1997,Gigashots,Pharmacist
Hyundai,dedicated,1996,Bubblemix,Database Administrator III
Ford,application,2010,Leenti,GIS Technical Architect
MINI,tangible,2012,Jayo,Project Manager
Porsche,toolset,2009,Midel,Editor
Lincoln,optimizing,1987,Ntags,Senior Developer
Volkswagen,needs-based,2008,Mynte,Administrative Officer
Chevrolet,Proactive,2006,Twiyo,Senior Editor
Ford,Horizontal,2001,Quimba,Computer Systems Analyst IV
Mitsubishi,Versatile,1998,Gabtype,Help Desk Technician
Hyundai,Progressive,2011,Bubblemix,Safety Technician IV
Hyundai,ability,1999,Rhyzio,Media Manager III
Ford,4th generation,1999,Yotz,Internal Auditor
Volvo,mission-critical,2005,Buzzster,Director of Sales
Mercedes-Benz,Multi-tiered,2007,Thoughtbeat,Technical Writer
Toyota,Enhanced,1997,Wordware,Financial Analyst
GMC,logistical,2000,Katz,Design Engineer
Acura,workforce,2009,Realfire,Account Coordinator
Ford,secured line,1997,Vinder,Software Test Engineer I
Lexus,bottom-line,2005,Avavee,Assistant Professor
Porsche,Synchronised,2000,Jamia,Media Manager III
Nissan,reciprocal,2004,Yombu,Operator
Volkswagen,info-mediaries,2012,Zoozzy,Database Administrator II
Ford,customer loyalty,1990,Devpoint,Assistant Manager
Ford,success,1977,Twimbo,Structural Engineer
GMC,maximized,2000,Realblab,Teacher
Mercedes-Benz,zero tolerance,1977,Shuffletag,Professor
Saab,next generation,2008,Jamia,Nurse Practicioner
Lexus,methodical,2005,Linktype,Geological Engineer
BMW,Quality-focused,1957,Kazu,Physical Therapy Assistant
Mitsubishi,systemic,1995,Chatterpoint,Human Resources Manager
Isuzu,well-modulated,1996,Mybuzz,Senior Developer
Lincoln,Monitored,2006,Yodoo,Senior Editor
Buick,paradigm,1993,Edgeify,Analyst Programmer
Mazda,grid-enabled,2006,Zooveo,Software Test Engineer II
Jeep,productivity,1993,Buzzdog,Accountant I
Isuzu,Innovative,2000,Aimbu,Community Outreach Specialist
Kia,Team-oriented,2006,Rhynyx,Chief Design Engineer
Saturn,Business-focused,2002,Voonder,Analog Circuit Design manager
Audi,fault-tolerant,1989,Aibox,Product Engineer
Renault,instruction set,1983,Livetube,Marketing Manager
Mercury,Programmable,1989,Leenti,GIS Technical Architect
Chevrolet,Public-key,2002,Feedmix,Financial Advisor
Buick,4th generation,1995,Muxo,Cost Accountant
GMC,tangible,2013,Browseblab,GIS Technical Architect
Cadillac,fresh-thinking,2008,Cogidoo,Compensation Analyst
Lotus,multi-tasking,2000,Linklinks,Safety Technician I
Chevrolet,Optional,2004,Buzzster,Clinical Specialist
Mazda,mission-critical,2000,Dynazzy,Developer IV
Dodge,internet solution,2003,Edgetag,Recruiting Manager
Volkswagen,migration,2007,Vinte,VP Accounting
Mazda,upward-trending,2010,Realfire,Payment Adjustment Coordinator
BMW,model,2004,Fliptune,Recruiter
Mazda,Sharable,2009,Thoughtworks,Internal Auditor
Cadillac,Horizontal,2005,Abata,Senior Editor
Honda,user-facing,2005,Avavee,Structural Engineer
Mercedes-Benz,Profound,2009,Photobean,Assistant Media Planner
Pontiac,Visionary,2009,Minyx,Sales Representative
Dodge,intranet,1998,Vipe,Director of Sales
Audi,hardware,2005,Yotz,Sales Associate
Honda,internet solution,2000,Jabberbean,Automation Specialist IV
Acura,fault-tolerant,1996,Linkbridge,Assistant Manager
Dodge,Automated,2001,Edgeify,Information Systems Manager
Mitsubishi,Horizontal,1998,Rhyloo,Staff Accountant I
Mitsubishi,Sharable,1996,Yata,Research Nurse
Mercury,Diverse,1990,Oyonder,Health Coach I
Mitsubishi,data-warehouse,2006,Tagfeed,Structural Engineer
Ford,model,1996,Flashspan,Financial Advisor
Subaru,Open-source,2004,Brainbox,Food Chemist
Ford,context-sensitive,1993,Browsebug,Administrative Officer
Volkswagen,mission-critical,1989,Zoomcast,Human Resources Manager
Mercedes-Benz,24 hour,1983,Quatz,Geologist III
Acura,didactic,2000,Browsedrive,Physical Therapy Assistant
Cadillac,Graphic Interface,2007,Digitube,GIS Technical Architect
Mercedes-Benz,uniform,1989,Jatri,Recruiter
Ford,function,2000,Mydo,Developer IV
BMW,model,2006,Zoombeat,Actuary
Buick,Profit-focused,1996,Skilith,Operator
Cadillac,Innovative,1992,Skyble,Nuclear Power Engineer
Volvo,contingency,2007,Katz,Nurse Practicioner
Lincoln,composite,2012,Wikibox,Human Resources Manager
Mazda,Vision-oriented,1997,Meevee,Account Coordinator
GMC,solution,2013,Flipstorm,Programmer IV
Chevrolet,alliance,2003,Oozz,Structural Analysis Engineer
Acura,service-desk,1993,Skinte,Assistant Media Planner
Pontiac,Configurable,2005,Pixope,Director of Sales
Pontiac,architecture,2001,Edgetag,Director of Sales
Nissan,tertiary,2011,Vimbo,Software Test Engineer IV
Volvo,fresh-thinking,2011,Viva,Help Desk Technician
Toyota,neural-net,2001,Flashset,Assistant Professor
Lexus,Ameliorated,2008,Yata,Product Engineer
Dodge,responsive,1994,Babbleset,Financial Analyst
Mazda,adapter,2005,Meembee,Internal Auditor
Buick,Intuitive,1985,Agimba,Speech Pathologist
Mazda,systemic,2006,Livetube,Research Associate
Isuzu,throughput,1992,Wikivu,Financial Analyst
Mazda,Synchronised,2009,Jaxbean,Engineer II
Nissan,contextually-based,1997,Thoughtbridge,Health Coach II
Saab,Reverse-engineered,2012,Reallinks,Senior Quality Engineer
Lexus,human-resource,2010,Zoonoodle,Engineer I
Pontiac,Business-focused,1993,Skipstorm,Internal Auditor
Ford,Customer-focused,1997,Ozu,Human Resources Manager
Chrysler,Public-key,2008,Flashdog,Tax Accountant
Plymouth,global,1998,Zoovu,Clinical Specialist
Chrysler,Persevering,1999,Topicstorm,GIS Technical Architect
Acura,human-resource,1999,Voolith,Editor
Chevrolet,migration,2004,Livetube,Web Developer II
Volvo,Multi-lateral,1992,Lajo,Automation Specialist I
Lexus,De-engineered,2006,Trudeo,Automation Specialist IV
Toyota,4th generation,2004,Tagpad,Quality Engineer
Lexus,workforce,1991,Reallinks,Graphic Designer
Subaru,algorithm,1990,Jaxnation,Clinical Specialist
Jaguar,Multi-lateral,2009,Topiczoom,Research Associate
Honda,Public-key,2010,Meemm,Help Desk Operator
Mitsubishi,scalable,1986,Abata,Compensation Analyst
Infiniti,executive,2005,Gevee,Junior Executive
Ford,Focused,1990,Katz,Cost Accountant
Buick,groupware,1993,Tanoodle,VP Accounting
Infiniti,Operative,1999,Oloo,Social Worker
Jaguar,Automated,1996,Jamia,Chief Design Engineer
Toyota,Multi-tiered,2008,Quatz,Dental Hygienist
Chevrolet,Digitized,1996,Talane,Account Executive
Honda,Customizable,2006,Blogpad,Nurse Practicioner
Lincoln,throughput,1998,Photospace,Senior Sales Associate
Lexus,Customizable,2012,Izio,Community Outreach Specialist
Audi,challenge,2002,Muxo,Programmer IV
Volkswagen,value-added,2001,Livetube,Electrical Engineer
Chevrolet,knowledge user,2004,Ainyx,Technical Writer
Mercedes-Benz,Self-enabling,2007,Shufflebeat,Information Systems Manager
Ford,3rd generation,2002,Thoughtbridge,Teacher
Mercedes-Benz,Up-sized,2012,Brightbean,Account Executive
Toyota,productivity,2004,Photospace,Engineer III
Ram,customer loyalty,2011,Bluejam,Payment Adjustment Coordinator
Chevrolet,support,2002,Izio,Marketing Assistant
Hummer,secured line,1993,Izio,Data Coordiator
Suzuki,hierarchy,1998,Quire,Software Test Engineer III
Chrysler,Cross-group,2003,Jayo,Desktop Support Technician
Lexus,structure,2011,Realmix,Tax Accountant
Mercedes-Benz,Balanced,2000,Muxo,Nuclear Power Engineer
Volvo,bandwidth-monitored,2011,Jetwire,Chemical Engineer
Suzuki,motivating,1996,JumpXS,Account Executive
Ford,Function-based,2006,Voolia,Nurse
Mercedes-Benz,logistical,1992,Edgeclub,Research Associate
Buick,upward-trending,2004,Pixope,Assistant Professor
GMC,parallelism,2005,Thoughtsphere,Marketing Assistant
GMC,customer loyalty,2002,Skimia,Systems Administrator II
BMW,Assimilated,2010,Riffpedia,Dental Hygienist
Mercedes-Benz,Optimized,1998,Trunyx,Nurse Practicioner
Porsche,eco-centric,2008,Digitube,Geological Engineer
Acura,Sharable,2010,Oyope,Sales Associate
Subaru,leverage,1989,Wordtune,Technical Writer
Toyota,Sharable,2005,Dabvine,Geologist II
Chevrolet,static,2009,Wordpedia,Biostatistician III
Subaru,moderator,1994,Kazu,Clinical Specialist
Honda,approach,2001,Devify,Nuclear Power Engineer
Subaru,radical,1995,Agimba,Human Resources Manager
Buick,Fully-configurable,2004,Kwinu,Human Resources Manager
Mitsubishi,emulation,1987,Jaxspan,Senior Editor
Mercedes-Benz,Function-based,1990,Pixope,Geologist II
Ford,Future-proofed,2007,Skinte,Recruiting Manager
Chevrolet,solution-oriented,1991,Twitternation,Senior Financial Analyst
Fillmore,leverage,1960,Ntags,Assistant Manager
Chevrolet,success,1992,Oyonder,Technical Writer
Cadillac,optimizing,1994,Miboo,Cost Accountant
Mitsubishi,Cross-group,2011,Oyoba,Quality Engineer
Lotus,hardware,2000,Kanoodle,Community Outreach Specialist
Chevrolet,solution,1995,Centizu,General Manager
Chevrolet,next generation,2006,Skipfire,Chemical Engineer
Buick,customer loyalty,1979,Skipstorm,Biostatistician I
Ford,fresh-thinking,1997,Quimm,Nurse Practicioner
Pontiac,Customizable,2005,Feedmix,Nurse
BMW,zero defect,2010,Zoozzy,Legal Assistant
Aston Martin,Open-source,2011,Skynoodle,Quality Control Specialist
Ford,systemic,2005,Tambee,Office Assistant II
Mazda,optimal,2003,Devshare,Executive Secretary
Ford,Optimized,1987,Edgeclub,Staff Accountant I
Ford,Robust,2004,Riffpedia,Biostatistician IV
GMC,grid-enabled,2006,Leenti,Teacher
MINI,toolset,2012,Snaptags,Nurse
Volvo,Virtual,2011,BlogXS,Nurse Practicioner
Mitsubishi,hub,2001,Jazzy,Senior Developer
Hyundai,leading edge,1998,Abata,Safety Technician III
Ford,Quality-focused,1984,Jabbercube,Geologist II
Mercedes-Benz,alliance,1992,Tagchat,Statistician III
Volkswagen,array,1992,Skinix,Help Desk Technician
Dodge,Synergistic,1994,Dabvine,Legal Assistant
Oldsmobile,3rd generation,1996,Realfire,Editor
GMC,contextually-based,2007,Yacero,Nurse Practicioner
Suzuki,matrix,2002,Npath,Senior Quality Engineer
Infiniti,migration,2000,Quinu,Health Coach II
Pontiac,Multi-tiered,1996,Brainverse,Web Developer II
Ford,middleware,2006,Fivespan,Structural Engineer
Pontiac,fresh-thinking,1989,Buzzster,Cost Accountant
Mercury,alliance,2009,Eazzy,Compensation Analyst
GMC,Customizable,1999,Quaxo,Paralegal
Hyundai,executive,2010,Twinder,VP Sales
Mitsubishi,Object-based,1987,Devpulse,Administrative Officer
GMC,multimedia,2012,Jabbersphere,Staff Accountant I
Honda,customer loyalty,1995,Katz,Payment Adjustment Coordinator
Toyota,leverage,2007,Photofeed,Registered Nurse
Nissan,budgetary management,2010,Shufflebeat,Senior Editor
Ford,Multi-lateral,1967,Ozu,Librarian
Dodge,coherent,1992,Feedfire,Recruiter
Hyundai,Phased,2009,Yakijo,Senior Sales Associate
Lexus,Reverse-engineered,2001,Avamm,Financial Advisor
Volkswagen,Grass-roots,1987,Rhyloo,Clinical Specialist
Pontiac,customer loyalty,1990,Bubblemix,Recruiter
Infiniti,multi-state,2008,Yakidoo,Geologist I
Pontiac,methodical,2006,Gigazoom,Electrical Engineer
Chevrolet,Advanced,1993,Devbug,Teacher
Ford,Re-contextualized,1989,JumpXS,Research Assistant II
Volkswagen,core,2006,Skyndu,Web Developer IV
Toyota,clear-thinking,1995,Teklist,Programmer III
Ford,Multi-lateral,2002,Dynabox,Senior Developer
Buick,Fully-configurable,1998,Skibox,VP Accounting
Toyota,Front-line,1994,Devcast,Legal Assistant
Plymouth,workforce,1999,Aivee,Chemical Engineer
Mazda,parallelism,1992,Jatri,Product Engineer
BMW,Progressive,2005,Dynazzy,Internal Auditor
Ford,migration,2011,Wordware,Programmer Analyst I
Acura,attitude-oriented,2007,Babbleset,Marketing Assistant
Toyota,Grass-roots,2007,Riffwire,Quality Engineer
Chevrolet,emulation,1992,Jaxnation,Health Coach I
Honda,human-resource,2011,Divavu,Mechanical Systems Engineer
Scion,composite,2012,Oloo,Marketing Assistant
GMC,internet solution,2008,Yamia,Physical Therapy Assistant
Cadillac,Streamlined,2005,Lazzy,Marketing Manager
