Carro,Descripcion,Modelo,empresa,puesto
Ford,collaboration,2003,Dabfeed,Financial Advisor
Chevrolet,contingency,1965,Rhyloo,Human Resources Manager
Chevrolet,utilisation,1998,Oyoba,Business Systems Development Analyst
GMC,Polarised,1993,Linkbuzz,Assistant Manager
Lincoln,intermediate,2002,Livetube,Developer IV
Chrysler,client-server,1999,Cogibox,Product Engineer
Buick,needs-based,1992,Meejo,Software Consultant
Mitsubishi,heuristic,1993,Lazz,VP Quality Control
Hyundai,Reverse-engineered,2012,Skyba,Staff Scientist
Hyundai,coherent,2006,Feednation,Office Assistant I
BMW,multimedia,2009,Flipstorm,General Manager
BMW,Assimilated,2009,Dynabox,Developer II
Chevrolet,implementation,1996,Skyba,Geologist III
GMC,reciprocal,2010,Gigaclub,Research Associate
Plymouth,secondary,1996,Wordware,VP Marketing
Volkswagen,zero administration,1985,Avavee,Administrative Officer
Lincoln,demand-driven,1991,Ntags,Software Test Engineer II
Pontiac,focus group,2010,Mudo,Nurse Practicioner
Lamborghini,Cross-platform,1987,Dabtype,Information Systems Manager
Porsche,toolset,1986,Gabtune,Compensation Analyst
Porsche,initiative,2000,Bluejam,Programmer Analyst IV
Mitsubishi,neutral,1990,Wordpedia,Geological Engineer
Volvo,analyzer,2008,Zazio,Accounting Assistant II
Volkswagen,object-oriented,2009,Photofeed,Environmental Specialist
Ford,Organized,2006,Eabox,Senior Cost Accountant
Acura,moderator,1996,Kare,Research Associate
Chevrolet,optimizing,1980,Zooxo,Recruiter
Mitsubishi,workforce,1992,Skidoo,Executive Secretary
Ford,algorithm,2004,Snaptags,Civil Engineer
Volkswagen,empowering,1984,Kayveo,General Manager
Mitsubishi,directional,1995,DabZ,Software Consultant
Ford,application,2009,Feedfire,Data Coordiator
Honda,24 hour,2011,Blogtags,Associate Professor
Dodge,Synergistic,1996,Brightdog,Systems Administrator I
Audi,architecture,2000,Skyble,Developer II
Land Rover,Versatile,1994,Devpulse,Civil Engineer
Mitsubishi,open system,1991,Realmix,Computer Systems Analyst I
Nissan,Virtual,2006,Browsebug,Office Assistant II
Porsche,Right-sized,2012,Dablist,Financial Analyst
Ford,groupware,2002,Devpoint,Assistant Manager
Chevrolet,workforce,1992,Eadel,Engineer I
GMC,pricing structure,2012,Quatz,Nuclear Power Engineer
Chevrolet,interface,1995,Oyoba,Mechanical Systems Engineer
Lexus,radical,2005,Midel,Help Desk Operator
Pontiac,methodical,1998,Blogpad,Engineer III
Volkswagen,scalable,2003,Skivee,Research Associate
Lexus,Front-line,2000,Skippad,Media Manager III
Suzuki,foreground,1996,Shufflester,Health Coach III
Audi,Customizable,2002,Kamba,Analog Circuit Design manager
Chrysler,Digitized,2003,Flashset,Senior Quality Engineer
Hyundai,throughput,2004,Livetube,Analyst Programmer
Chrysler,task-force,2007,Camimbo,Tax Accountant
Acura,multimedia,1998,Meevee,Mechanical Systems Engineer
Lamborghini,intermediate,2012,Linklinks,Physical Therapy Assistant
Mazda,info-mediaries,2008,Lazz,Budget/Accounting Analyst II
Chrysler,solution-oriented,1997,Katz,Executive Secretary
GMC,Graphical User Interface,2011,Lazzy,Analyst Programmer
Dodge,moratorium,1993,Camido,Human Resources Manager
Lincoln,conglomeration,2012,Edgetag,Social Worker
Chevrolet,Persevering,1993,Vipe,Research Assistant IV
Ford,composite,2004,Kanoodle,Sales Representative
Ford,demand-driven,2010,Twitterwire,Design Engineer
Chrysler,Visionary,2002,Aivee,Senior Quality Engineer
Ferrari,Automated,2010,Gigaclub,Computer Systems Analyst III
Audi,bottom-line,1986,Topicstorm,Nurse Practicioner
Mercury,User-centric,2005,Brainbox,Occupational Therapist
Subaru,national,1985,Roomm,Associate Professor
Audi,Decentralized,1990,Browsebug,GIS Technical Architect
Ford,Customizable,2005,Vidoo,Sales Associate
Kia,multi-tasking,2009,Kwilith,Systems Administrator II
BMW,secondary,2005,Topicshots,Physical Therapy Assistant
Honda,forecast,1994,Gevee,VP Accounting
Suzuki,tertiary,2006,Twimm,Civil Engineer
Toyota,concept,2012,Voolia,Computer Systems Analyst II
Hyundai,tangible,2008,Katz,Structural Analysis Engineer
Isuzu,Up-sized,1999,Browsetype,Web Designer II
Ford,Profit-focused,1997,Thoughtstorm,Programmer Analyst IV
BMW,Function-based,2002,Cogibox,VP Quality Control
Lexus,Up-sized,2011,Teklist,Registered Nurse
Toyota,ability,1997,Tagchat,Assistant Manager
Pontiac,core,2004,Rooxo,Office Assistant I
Mercury,contingency,2011,Fivechat,Chemical Engineer
Mercury,Focused,2007,Shufflebeat,Food Chemist
Lamborghini,Organic,2012,Jatri,Biostatistician IV
Suzuki,toolset,1995,Meetz,Professor
Ford,solution,1996,Yotz,Electrical Engineer
Dodge,knowledge base,1992,Twitterlist,GIS Technical Architect
Chevrolet,data-warehouse,2008,Devpulse,Sales Representative
Hyundai,even-keeled,1995,Buzzbean,Professor
Pontiac,real-time,1974,Dabshots,Physical Therapy Assistant
Volkswagen,well-modulated,2012,Edgewire,Analog Circuit Design manager
Cadillac,executive,2007,Tagcat,Food Chemist
Infiniti,24/7,2010,Jazzy,Staff Accountant III
BMW,scalable,2009,Yambee,Tax Accountant
Dodge,multimedia,2007,Tanoodle,Account Executive
Isuzu,conglomeration,1992,Avamm,Actuary
Bentley,Progressive,2011,Livefish,Senior Sales Associate
Ferrari,frame,2009,Leenti,Sales Representative
Dodge,Face to face,2005,Yata,Analyst Programmer
Mazda,policy,1995,Oyoyo,Automation Specialist II
Mitsubishi,Polarised,1988,Trilia,Tax Accountant
BMW,Vision-oriented,2003,Minyx,Chief Design Engineer
Volkswagen,global,1990,Oyope,Software Test Engineer I
Pontiac,Business-focused,2005,Divape,Data Coordiator
Volvo,coherent,2010,Oyoloo,Analyst Programmer
Dodge,access,2005,Quatz,Quality Engineer
Volkswagen,Graphic Interface,2002,Yakitri,Social Worker
Buick,scalable,1995,Twitterbridge,Community Outreach Specialist
Dodge,exuding,2012,Janyx,Social Worker
Lotus,bottom-line,2010,Linktype,Account Executive
Ford,Networked,2000,Cogilith,Nurse Practicioner
Jaguar,bottom-line,2008,Shuffledrive,Software Test Engineer I
Land Rover,encryption,2009,Ooba,Junior Executive
BMW,Intuitive,2009,Chatterpoint,Social Worker
Mercury,algorithm,1989,Zoozzy,Registered Nurse
Ford,Organized,2007,Feedbug,Editor
Pontiac,open architecture,1989,Eimbee,Tax Accountant
Mercedes-Benz,eco-centric,2010,Brightbean,Geologist II
Nissan,Synergistic,2006,Aimbu,Chief Design Engineer
Volvo,superstructure,2000,Realblab,Actuary
Honda,Integrated,2012,Quimm,Senior Quality Engineer
Dodge,orchestration,1992,Plambee,Engineer IV
Dodge,Organic,1989,Zoomdog,Office Assistant III
Volkswagen,Persistent,2010,Brainbox,Engineer IV
Dodge,Vision-oriented,1997,Avamm,Accounting Assistant II
Mazda,toolset,2002,Midel,Computer Systems Analyst IV
Pontiac,tangible,1990,Jaxnation,Software Consultant
Jeep,24/7,2011,Topiclounge,VP Sales
Mazda,secured line,2004,Abata,Research Nurse
Chrysler,secured line,1997,Topiczoom,Product Engineer
Peugeot,software,2007,Yakijo,Developer III
Chevrolet,bifurcated,2010,Bluejam,Payment Adjustment Coordinator
Nissan,Self-enabling,2006,Yabox,Design Engineer
BMW,5th generation,2007,Feedfish,Electrical Engineer
Honda,User-centric,2008,Quinu,Nurse Practicioner
Plymouth,Cross-platform,1989,Blogtag,Payment Adjustment Coordinator
Honda,holistic,1996,Rhynoodle,Systems Administrator III
Isuzu,attitude-oriented,1993,Tagpad,Help Desk Operator
Lexus,impactful,2011,Skiba,Technical Writer
Chevrolet,Inverse,2009,Roomm,Product Engineer
Kia,Secured,2009,Yakitri,Product Engineer
Acura,Cross-group,1989,Voolith,Editor
Mitsubishi,secured line,1992,Devcast,Programmer Analyst I
Plymouth,tangible,1992,Gabspot,Developer I
Chrysler,Up-sized,1994,Realbuzz,Technical Writer
Daewoo,Re-contextualized,2001,Wikivu,Financial Advisor
Toyota,throughput,2011,Cogibox,Associate Professor
GMC,systemic,1993,Topicware,VP Marketing
Audi,secured line,2008,Zooxo,Analyst Programmer
Audi,dedicated,1994,Yakitri,Senior Financial Analyst
Kia,next generation,2006,InnoZ,Accounting Assistant IV
Bentley,Multi-channelled,2009,Vidoo,Occupational Therapist
Mercedes-Benz,Ameliorated,1990,Jaxbean,Senior Quality Engineer
BMW,Exclusive,2003,Kwinu,Registered Nurse
Volvo,emulation,2012,Quatz,Paralegal
Honda,Multi-channelled,1996,Eimbee,Staff Accountant I
Subaru,bi-directional,2002,Oyoba,Research Nurse
Ford,optimal,1997,Edgetag,Analyst Programmer
Mitsubishi,Reverse-engineered,1996,Shuffletag,Nurse Practicioner
Toyota,Managed,1998,Demimbu,Community Outreach Specialist
Lexus,Graphic Interface,2011,Flipbug,Biostatistician III
Dodge,hierarchy,2001,Dynava,Computer Systems Analyst IV
Dodge,structure,1994,Zoombeat,Software Test Engineer IV
Mercury,global,2000,Yodel,Marketing Assistant
Buick,fresh-thinking,2001,Dabfeed,Data Coordiator
Volvo,artificial intelligence,1999,Dabshots,Web Developer III
Nissan,Streamlined,2004,Camido,Recruiting Manager
Ford,Synergized,2006,Meezzy,Desktop Support Technician
Chevrolet,workforce,2009,Devcast,Web Developer II
Chevrolet,Automated,2009,Gabcube,Quality Control Specialist
Hyundai,Object-based,2013,Flipopia,Research Assistant IV
Nissan,Optimized,1996,Meevee,VP Marketing
Chevrolet,Intuitive,2001,Aimbu,Quality Control Specialist
Suzuki,Operative,1992,Mita,Editor
Mercury,even-keeled,1993,Linkbuzz,Physical Therapy Assistant
Lexus,modular,2001,Trupe,Health Coach III
Acura,Function-based,2011,Roodel,Senior Quality Engineer
Buick,functionalities,1995,Feedfire,Dental Hygienist
Nissan,Implemented,2004,Chatterpoint,Senior Sales Associate
Honda,Organized,2002,Realfire,VP Marketing
Mercedes-Benz,protocol,2008,Lazzy,Operator
Mercedes-Benz,optimizing,2007,Divape,GIS Technical Architect
GMC,complexity,2005,Yombu,Web Developer III
Mercury,mission-critical,1998,Rhynyx,Product Engineer
Honda,holistic,1995,Gigaclub,Help Desk Technician
Buick,productivity,1986,Skimia,Information Systems Manager
Chevrolet,Persistent,2002,Babbleset,Account Coordinator
Hyundai,Exclusive,1995,Muxo,Legal Assistant
Mercury,next generation,1992,Photolist,Marketing Manager
Infiniti,initiative,2008,Vitz,Physical Therapy Assistant
Lotus,adapter,2011,Eadel,Electrical Engineer
Hyundai,Stand-alone,2009,Skilith,Help Desk Operator
Ford,superstructure,1991,Meevee,Editor
Ford,parallelism,2006,Dabfeed,Biostatistician I
Mercedes-Benz,Progressive,2008,Thoughtbridge,Community Outreach Specialist
Porsche,explicit,1987,Dazzlesphere,Research Associate
Mercury,frame,1995,Skiba,Geologist II
Suzuki,initiative,1991,Kazio,Programmer Analyst II
Chrysler,open system,1997,Skynoodle,Nurse
Volvo,knowledge base,2007,Camimbo,Marketing Assistant
Kia,dedicated,2005,Zoomdog,Clinical Specialist
Mitsubishi,Universal,2011,Voonix,Systems Administrator III
Infiniti,application,1994,Wordtune,Assistant Manager
Suzuki,bandwidth-monitored,1992,Feedbug,Accounting Assistant III
Ford,Multi-tiered,2002,Devcast,Recruiting Manager
Mercedes-Benz,secondary,1993,Pixoboo,VP Sales
Dodge,coherent,2000,Yadel,Office Assistant III
Audi,frame,2007,Jaxnation,Administrative Assistant III
Buick,open system,2001,Edgeblab,Account Executive
Ford,Profound,1998,Avamba,Project Manager
MINI,Centralized,2008,Dynabox,Environmental Specialist
Nissan,Versatile,2003,Agimba,Environmental Specialist
Mercedes-Benz,algorithm,1998,Wordify,Analog Circuit Design manager
Chrysler,Universal,2000,Edgetag,Programmer Analyst II
Pontiac,capability,2004,Vipe,Safety Technician IV
Mitsubishi,Compatible,2000,Feedfire,Sales Associate
Lexus,background,1997,Flashset,Project Manager
Ford,client-driven,1992,Twinder,Engineer II
Dodge,object-oriented,2007,Fatz,Senior Quality Engineer
Bentley,client-driven,2010,Thoughtstorm,Programmer Analyst I
Toyota,attitude,1998,Ooba,VP Accounting
Mitsubishi,time-frame,1998,Feedfish,Legal Assistant
Hyundai,upward-trending,2004,Npath,GIS Technical Architect
Lexus,Team-oriented,2005,Jaxworks,Assistant Media Planner
Volkswagen,24/7,1999,Edgepulse,Programmer Analyst IV
GMC,Integrated,2004,Roomm,Senior Sales Associate
Subaru,transitional,1994,Vidoo,Software Engineer IV
Audi,Balanced,2012,Jayo,Account Representative III
Audi,system engine,2001,Jaloo,Programmer IV
Chevrolet,asymmetric,1994,Omba,Executive Secretary
Volkswagen,Innovative,2011,Twitterlist,Compensation Analyst
GMC,Adaptive,2002,Skyndu,Chief Design Engineer
Oldsmobile,Profit-focused,1993,Miboo,Office Assistant II
Acura,Inverse,1988,Wikizz,Mechanical Systems Engineer
Ford,process improvement,2013,Tagopia,Programmer II
BMW,optimizing,1993,Teklist,Food Chemist
Saab,client-server,2009,Zava,Assistant Media Planner
Infiniti,Business-focused,2009,Feedmix,Marketing Manager
Mercury,application,1993,Devcast,Registered Nurse
Mercury,6th generation,2008,Eayo,Analog Circuit Design manager
Honda,utilisation,1990,Wikizz,Social Worker
Maserati,matrices,1986,Pixonyx,Food Chemist
GMC,tertiary,2009,Wordify,Legal Assistant
Infiniti,synergy,2009,Yombu,Dental Hygienist
Audi,model,1998,Meedoo,Senior Quality Engineer
GMC,secondary,1992,Quimba,Speech Pathologist
Nissan,flexibility,1994,Katz,Assistant Media Planner
Land Rover,neutral,1998,Blogpad,Human Resources Assistant II
Lamborghini,static,2005,Oloo,Occupational Therapist
Oldsmobile,3rd generation,1996,Reallinks,Staff Accountant IV
Chevrolet,Graphical User Interface,1998,Fliptune,Internal Auditor
Hyundai,focus group,2006,Jaxbean,Assistant Professor
Volvo,capacity,2011,Livetube,Administrative Assistant I
Suzuki,6th generation,1999,Vipe,Staff Scientist
Hummer,project,1994,Brainverse,Internal Auditor
Mitsubishi,Multi-lateral,1994,Browsedrive,Financial Analyst
Volvo,Visionary,2010,Riffpath,Computer Systems Analyst I
Cadillac,firmware,2011,Buzzster,Tax Accountant
Pontiac,process improvement,1984,Plambee,Structural Engineer
Saturn,Versatile,2010,Avamba,Safety Technician II
Chrysler,systemic,2003,Dablist,Environmental Specialist
Chevrolet,complexity,1972,Kazu,Research Assistant II
Hummer,support,2006,Blogtags,Physical Therapy Assistant
BMW,Self-enabling,2005,Gabspot,Senior Quality Engineer
GMC,architecture,2010,Yodo,Environmental Specialist
Mitsubishi,Monitored,1985,Chatterbridge,Tax Accountant
GMC,grid-enabled,1996,Thoughtsphere,Engineer I
Hummer,background,2001,Eare,Accounting Assistant III
Mitsubishi,budgetary management,1997,Realcube,Programmer Analyst II
Chevrolet,Profit-focused,2013,Yodoo,Programmer I
Jeep,incremental,2009,Lazzy,Health Coach I
BMW,mobile,2007,Quaxo,Structural Engineer
Toyota,Virtual,2009,Leexo,Occupational Therapist
Hyundai,complexity,2001,Thoughtmix,Automation Specialist II
Infiniti,Decentralized,1999,Thoughtblab,Chief Design Engineer
Saturn,non-volatile,1997,Rhynoodle,Recruiter
Ford,Pre-emptive,1970,Fadeo,Project Manager
Nissan,maximized,2009,Zoonoodle,Librarian
Mazda,capacity,2008,Riffwire,Environmental Tech
Mercedes-Benz,composite,2011,Wikibox,Assistant Media Planner
Chevrolet,tangible,2004,Twinte,Structural Analysis Engineer
Subaru,parallelism,2001,Jayo,Civil Engineer
Toyota,analyzer,2001,Talane,Software Engineer I
Chevrolet,zero tolerance,2009,Topicshots,Senior Sales Associate
Jaguar,Implemented,2001,Kimia,Project Manager
Mitsubishi,capability,1986,Viva,Accounting Assistant I
Lexus,throughput,2005,Gabcube,Nurse
Chevrolet,even-keeled,2007,Rhycero,Senior Cost Accountant
GMC,zero administration,2002,Layo,Human Resources Manager
Isuzu,capacity,2005,Jamia,Software Test Engineer II
Pontiac,moratorium,1999,Flipbug,Occupational Therapist
Dodge,Polarised,1998,Zoonoodle,Marketing Assistant
Lincoln,Multi-layered,2003,Tagopia,Quality Control Specialist
Chevrolet,process improvement,2005,Buzzbean,Environmental Specialist
Hummer,intangible,2001,Browsedrive,Help Desk Operator
Pontiac,5th generation,2000,Skinder,Assistant Professor
Nissan,strategy,2011,Brainsphere,Developer II
Audi,encoding,1994,Youtags,Associate Professor
Land Rover,Pre-emptive,1994,Topdrive,Editor
Ford,next generation,1985,Twitterbridge,Administrative Assistant IV
Jeep,concept,2011,Wikibox,Payment Adjustment Coordinator
Ford,24/7,2013,Pixope,Account Coordinator
Mazda,interactive,2003,Tambee,Quality Engineer
Nissan,workforce,2002,Riffpedia,Recruiter
Audi,attitude,2010,Dabtype,Help Desk Operator
Lincoln,service-desk,2003,Yodo,Senior Financial Analyst
Nissan,Programmable,2012,Trudeo,Computer Systems Analyst IV
Panoz,discrete,2005,Gabspot,Senior Sales Associate
BMW,extranet,2002,Wordpedia,Executive Secretary
Land Rover,incremental,2004,Voolia,Technical Writer
Lincoln,capacity,2008,Teklist,Statistician I
Cadillac,local,2010,Rhyzio,Senior Developer
Mazda,bifurcated,1987,Voonder,Accounting Assistant III
Chrysler,homogeneous,1996,Shuffletag,Developer I
Honda,Digitized,2012,Mynte,Information Systems Manager
Maybach,Persistent,2012,Meetz,Account Executive
GMC,Customizable,2005,Jabbercube,Occupational Therapist
Chrysler,functionalities,2000,Digitube,Nuclear Power Engineer
Mazda,regional,1985,Topiclounge,Physical Therapy Assistant
Porsche,asymmetric,1986,Topiclounge,Research Assistant I
Maserati,zero defect,2007,Mydeo,Quality Engineer
Hummer,mission-critical,1996,Photobug,Design Engineer
Toyota,needs-based,2007,Demimbu,Office Assistant I
Chrysler,radical,1996,Rhybox,Technical Writer
Kia,Ameliorated,2003,Realbuzz,Sales Associate
Spyker,system-worthy,2006,Dablist,Environmental Specialist
Lexus,collaboration,2001,Edgeblab,Financial Advisor
Chevrolet,Virtual,1979,Devcast,Software Engineer III
Hyundai,Right-sized,2001,Plajo,Senior Quality Engineer
Toyota,Synergistic,1997,Zoombox,Software Engineer IV
Nissan,Cross-group,1995,Brightdog,Quality Engineer
Saab,full-range,1993,Snaptags,Engineer IV
Mercedes-Benz,transitional,1991,Aimbo,Budget/Accounting Analyst I
Mercury,contextually-based,1994,Photofeed,Automation Specialist II
Ford,Profound,1988,Jayo,Compensation Analyst
Pontiac,Graphic Interface,1986,Topicstorm,Systems Administrator I
Porsche,algorithm,2001,Jetpulse,Research Associate
Mercedes-Benz,Implemented,2002,Linkbuzz,Pharmacist
Lexus,disintermediate,1997,Centimia,Marketing Manager
Chrysler,user-facing,2006,Lajo,Research Assistant III
Chevrolet,Ergonomic,1998,Rhynyx,Civil Engineer
Cadillac,encryption,2004,Talane,Cost Accountant
Chevrolet,migration,2005,Jamia,Systems Administrator IV
Dodge,Object-based,2008,Innotype,Marketing Manager
Kia,Stand-alone,2007,Thoughtbeat,Marketing Manager
Nissan,Switchable,2011,Flashset,Design Engineer
Scion,data-warehouse,2008,Meejo,Quality Control Specialist
BMW,pricing structure,2001,Skiptube,Associate Professor
Infiniti,dedicated,2004,Oloo,Research Nurse
Land Rover,grid-enabled,2010,Cogidoo,Speech Pathologist
Jaguar,methodology,2011,Yakitri,Web Developer IV
Ford,complexity,2007,Devcast,Engineer IV
Mazda,focus group,2007,Wikido,Database Administrator III
Dodge,Face to face,2008,Jaxbean,Desktop Support Technician
Mazda,Quality-focused,1992,Jaxworks,Analyst Programmer
Ford,mobile,1998,Babbleset,Social Worker
Volvo,neural-net,2004,Wikizz,Quality Engineer
Subaru,moratorium,2007,Twitterworks,Recruiting Manager
Lamborghini,Future-proofed,2003,Jabbertype,Staff Accountant III
Maybach,Total,2008,Kwideo,Paralegal
Toyota,Compatible,2006,Photobean,Desktop Support Technician
Chevrolet,orchestration,2008,Zoomzone,Assistant Manager
Dodge,dynamic,1998,Zoonoodle,Business Systems Development Analyst
Mazda,Proactive,1984,Centidel,Quality Control Specialist
Audi,installation,1999,Oodoo,Media Manager II
Ford,portal,2000,Pixope,Administrative Officer
Panoz,static,2006,Kazio,Database Administrator III
Audi,system engine,2010,Photolist,Project Manager
Land Rover,client-server,2003,Jaloo,Quality Engineer
Mercedes-Benz,intranet,1997,Livepath,Senior Cost Accountant
Mazda,Synchronised,1994,Trilia,Budget/Accounting Analyst I
Chevrolet,tangible,1993,Yacero,Programmer II
Scion,Mandatory,2006,Centizu,Speech Pathologist
Saab,Enterprise-wide,1998,Edgewire,Human Resources Assistant IV
Acura,initiative,2011,Avamba,Payment Adjustment Coordinator
GMC,Versatile,1998,Mybuzz,Registered Nurse
Audi,matrices,1990,Meevee,Environmental Specialist
Chrysler,content-based,2012,Yotz,Web Developer I
Lexus,hardware,2000,Eidel,Human Resources Assistant II
Kia,superstructure,2007,Devshare,Assistant Media Planner
Mitsubishi,responsive,1993,Topicware,Recruiter
Ford,tertiary,1984,Youtags,Environmental Specialist
Mercury,Adaptive,1984,Trunyx,Chemical Engineer
Mercedes-Benz,6th generation,2011,Tagpad,Clinical Specialist
Volvo,Quality-focused,1998,Fivespan,Assistant Professor
Volkswagen,encryption,1998,Zoombeat,Account Coordinator
BMW,architecture,2003,Brightbean,Information Systems Manager
Cadillac,object-oriented,2006,Zooxo,Legal Assistant
Maybach,multimedia,2012,Kazio,Registered Nurse
Toyota,5th generation,1994,Yodo,Occupational Therapist
Maybach,composite,2006,Gigabox,Senior Financial Analyst
Suzuki,concept,2003,Wordware,Compensation Analyst
Mercury,Balanced,2007,Thoughtstorm,Media Manager IV
Ford,workforce,2003,Meevee,VP Marketing
Dodge,extranet,2009,Yodel,Staff Scientist
Pontiac,paradigm,1987,Meetz,Recruiter
Buick,Operative,1993,Zoomdog,Automation Specialist III
Mazda,bandwidth-monitored,2001,Viva,Registered Nurse
Saab,tangible,2012,Kamba,Analyst Programmer
Subaru,client-driven,2006,Browsecat,VP Accounting
Mitsubishi,Switchable,2002,Skiba,Mechanical Systems Engineer
Kia,protocol,2006,Twitterbeat,Cost Accountant
Chevrolet,Operative,1961,Blogtags,Developer III
Pontiac,value-added,1992,Voonder,Administrative Officer
Volvo,adapter,1992,Yodoo,Recruiting Manager
Mazda,impactful,2007,Quinu,Automation Specialist IV
Hyundai,object-oriented,2006,Yamia,Financial Advisor
Lexus,analyzing,2003,Buzzbean,Chemical Engineer
Lexus,website,2010,Tagfeed,Programmer IV
Toyota,Team-oriented,1999,Feednation,Programmer Analyst IV
Chevrolet,benchmark,2012,Minyx,Programmer Analyst IV
Nissan,4th generation,2007,Jaxbean,Chemical Engineer
Pontiac,bifurcated,1988,Tekfly,Registered Nurse
Bentley,Synchronised,2009,Photospace,VP Product Management
Kia,intermediate,1997,Zoonder,Environmental Tech
Honda,Vision-oriented,2010,Eire,Chief Design Engineer
Buick,leverage,1991,Voomm,Analyst Programmer
Ford,migration,1998,Photolist,VP Sales
Acura,logistical,1997,Yakitri,Compensation Analyst
Honda,solution,1999,Eabox,Design Engineer
Ferrari,Organized,2008,Tavu,Human Resources Assistant II
Ford,capability,1984,Feedspan,Nuclear Power Engineer
Mazda,Adaptive,1995,Devshare,Editor
Volkswagen,regional,1992,Jamia,Mechanical Systems Engineer
Ford,regional,2001,Eimbee,Financial Advisor
Audi,Vision-oriented,1986,Pixoboo,Systems Administrator III
Jaguar,strategy,2007,Mydo,Chemical Engineer
Mazda,hardware,1996,Demivee,Operator
Maserati,secured line,2008,Skipfire,Social Worker
Dodge,instruction set,2005,Jayo,Quality Control Specialist
Toyota,methodology,2010,Pixonyx,Safety Technician III
Acura,Business-focused,1998,Mydeo,Director of Sales
BMW,Open-architected,2011,Thoughtbridge,Nurse Practicioner
Ford,scalable,2010,Jazzy,Analyst Programmer
